,r2,pct_budgetary,pct_performant,decision_length
gpl:3;noise:False;A:0.1,0.6354377991645513,1.0,0.24,4.0
gpl:3;noise:False;A:0.9,0.897439526298721,1.0,0.72,4.0
gpl:3;noise:False;A:None,0.8303870192699321,1.0,0.64,2.0
gpl:3;noise:True;A:0.1,0.5936641900935501,1.0,0.28,4.0
gpl:3;noise:True;A:0.9,0.8247606170544468,1.0,0.4,2.0
gpl:3;noise:True;A:None,0.7712435626490415,1.0,0.44,2.0
