,r2,pct_budgetary,pct_performant,decision_length
gpl:2;noise:False;A:0.1,0.7031305898620115,1.0,0.5897435897435898,11.0
gpl:2;noise:False;A:0.9,0.9627094918173671,1.0,0.8205128205128205,11.0
gpl:2;noise:False;A:None,0.9120090808486048,1.0,0.7435897435897436,4.0
gpl:2;noise:True;A:0.1,0.5512440215696333,1.0,0.4358974358974359,9.0
gpl:2;noise:True;A:0.9,0.4770527594118183,0.625,0.358974358974359,2.0
gpl:2;noise:True;A:None,0.6444351709196303,1.0,0.46153846153846156,2.5
