Agency Name,State Name [District] Latest available year,Total Number of Public Schools [Public School] 2023-24,Total Number of Public Schools [Public School] 2022-23,Total Number of Public Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2020-21,Total Number of Public Schools [Public School] 2019-20,Total Number of Public Schools [Public School] 2018-19,Total Number of Public Schools [Public School] 2017-18,Total Number of Public Schools [Public School] 2016-17,Total Number of Public Schools [Public School] 2015-16,Total Number of Public Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2013-14,Total Number of Public Schools [Public School] 2012-13,Total Number of Public Schools [Public School] 2011-12,Total Number of Public Schools [Public School] 2010-11,Total Number of Public Schools [Public School] 2009-10,Total Number of Public Schools [Public School] 2008-09,Total Number of Public Schools [Public School] 2007-08,Total Number of Public Schools [Public School] 2006-07,Total Number of Public Schools [Public School] 2005-06,Total Number of Public Schools [Public School] 2004-05,Total Number of Public Schools [Public School] 2003-04,Total Number of Public Schools [Public School] 2002-03,Total Number of Public Schools [Public School] 2001-02,Total Number of Public Schools [Public School] 2000-01,Total Number of Public Schools [Public School] 1999-00,Total Number of Public Schools [Public School] 1998-99,Total Number of Public Schools [Public School] 1997-98,Total Number of Public Schools [Public School] 1996-97,Total Number of Public Schools [Public School] 1995-96,Total Number of Public Schools [Public School] 1994-95,Total Number of Public Schools [Public School] 1993-94,Total Number of Public Schools [Public School] 1992-93,Total Number of Public Schools [Public School] 1991-92,Total Number of Public Schools [Public School] 1990-91,Total Number of Public Schools [Public School] 1989-90,Total Number of Public Schools [Public School] 1988-89,Total Number of Public Schools [Public School] 1987-88,Total Number of Public Schools [Public School] 1986-87,Total Students All Grades (Excludes AE) [District] 2023-24,Total Students All Grades (Excludes AE) [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2019-20,Total Students All Grades (Excludes AE) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2017-18,Total Students All Grades (Excludes AE) [District] 2016-17,Total Students All Grades (Excludes AE) [District] 2015-16,Total Students All Grades (Excludes AE) [District] 2014-15,Total Students All Grades (Excludes AE) [District] 2013-14,Total Students All Grades (Excludes AE) [District] 2012-13,Total Students All Grades (Excludes AE) [District] 2011-12,Total Students All Grades (Excludes AE) [District] 2010-11,Total Students All Grades (Excludes AE) [District] 2009-10,Total Students All Grades (Excludes AE) [District] 2008-09,Total Students All Grades (Excludes AE) [District] 2007-08,Total Students All Grades (Excludes AE) [District] 2006-07,Total Students All Grades (Excludes AE) [District] 2005-06,Total Students All Grades (Excludes AE) [District] 2004-05,Total Students All Grades (Excludes AE) [District] 2003-04,Total Students All Grades (Excludes AE) [District] 2002-03,Total Students All Grades (Excludes AE) [District] 2001-02,Total Students All Grades (Excludes AE) [District] 2000-01,Total Students All Grades (Excludes AE) [District] 1999-00,Total Students All Grades (Excludes AE) [District] 1998-99,Total Students All Grades (Excludes AE) [District] 1997-98,Total Students All Grades (Excludes AE) [District] 1996-97,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Total Students All Grades (Excludes AE) [District] 1990-91,Total Students All Grades (Excludes AE) [District] 1989-90,Total Students All Grades (Excludes AE) [District] 1988-89,Total Students All Grades (Excludes AE) [District] 1987-88,Pupil/Teacher Ratio [District] 2023-24,Pupil/Teacher Ratio [District] 2022-23,Pupil/Teacher Ratio [District] 2021-22,Pupil/Teacher Ratio [District] 2020-21,Pupil/Teacher Ratio [District] 2019-20,Pupil/Teacher Ratio [District] 2018-19,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [District] 2016-17,Pupil/Teacher Ratio [District] 2015-16,Pupil/Teacher Ratio [District] 2014-15,Pupil/Teacher Ratio [District] 2013-14,Pupil/Teacher Ratio [District] 2012-13,Pupil/Teacher Ratio [District] 2011-12,Pupil/Teacher Ratio [District] 2010-11,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [District] 2008-09,Pupil/Teacher Ratio [District] 2007-08,Pupil/Teacher Ratio [District] 2006-07,Pupil/Teacher Ratio [District] 2005-06,Pupil/Teacher Ratio [District] 2004-05,Pupil/Teacher Ratio [District] 2003-04,Pupil/Teacher Ratio [District] 2002-03,Pupil/Teacher Ratio [District] 2001-02,Pupil/Teacher Ratio [District] 2000-01,Pupil/Teacher Ratio [District] 1999-00,Pupil/Teacher Ratio [District] 1998-99,Pupil/Teacher Ratio [District] 1997-98
CHICAGO PUBLIC SCHOOLS DIST 299,Illinois,643,644,646,649,653,658,655,585,595,603,654,649,641,638,633,630,631,633,633,634,633,608,599,602,597,592,585,567,555,604,609,601,619,616,608,601,597,594,322809,321666,329836,341382,347484,359476,373700,378199,387311,392558,396641,395948,403004,405644,407157,421430,407510,413694,420982,426812,434419,436048,437418,435261,431750,430914,477610,469098,412921,407241,409499,411582,409731,408830,408442,394587,419537,13.89,14.03,14.47,–,15.84,16.48,20.72,19.89,18.96,17.4,17.01,–,17.94,17.53,16.44,19.6,19.5,21.8,15.6,16.9,18.9,17.7,18.2,18.2,18.4,18.3,20.4
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Colorado,197,203,206,205,207,206,208,204,201,191,187,178,164,152,148,143,148,149,148,151,145,144,134,129,124,122,118,118,112,112,111,111,114,113,113,114,113,113,88258,87883,88911,89081,92143,92039,91822,91138,90235,88839,86046,83377,80890,78339,77267,74189,73053,72561,72312,72410,72100,71972,72361,70847,69693,68790,67858,66331,64322,62773,62673,62935,60552,59013,58299,58664,59439,14.82,14.78,14.48,14.55,14.98,14.95,15.1,15.24,15.07,15.17,16.06,16.88,17.63,16.73,16.9,17,17.6,17.7,18.2,17.9,17.1,16.1,16.5,17,17.4,20.3,19.3
